				poi_id	poi_title
一环路东段232号绵阳科技馆内	两弹一星	104.772232	31.479671	101001000071	绵阳科技馆
叠溪镇松坪沟乡境内	叠溪松坪沟景区	103.658645	32.080672	101001000094	叠溪－松坪沟风景区
德新镇古什路与新寿路交叉口东1000米中国和海内	欢乐世界	104.369594	31.242937	101001000188	七彩海巢欢乐世界
嘉陵江东岸	千佛崖	105.846473	32.469919	101001000098	千佛崖
苏家村	华蓥山天意谷	106.809125	30.26298	101001000067	天意谷
武侯祠大街231号附1号	锦里古街	104.049828	30.645994	101001000007	锦里古街
金星乡和平村9组	天府花溪谷景区	103.431128	30.712912	101001000085	天府花溪谷
青华路9号(近杜甫草堂)	浣花溪公园	104.029022	30.657467	101001000117	浣花溪公园
成雅高速公路86公里处	石象湖景区	103.423456	30.194076	101001000057	石象湖
花水湾镇	花水湾温泉旅游度假区	103.247686	30.546395	101001000154	花水湾第一村温泉
光雾山镇	米仓山国家森林公园	106.946104	32.674605	101001000140	米仓山国家森林公园
丹景山街道丹景村	丹景山	103.832178	31.080625	101001000150	丹景山
天府大道北段1700号新世纪环球中心1F层	黑龙滩·长岛国际旅游度假区(新世纪环球中心)	104.064817	30.569104	101001000163	花园城国际度假中心
龙池镇光荣社区9组	虹口漂流	103.632943	31.093767	101001000159	虹口漂流
一环路西二段9号(青羊宫地铁站B口步行90米)	青羊宫	104.042599	30.661506	101001000080	青羊宫
女皇路与滨江路交叉口(近嘉陵江西岸乌龙山脚)	皇泽寺景区	105.811617	32.438308	101001000114	皇泽寺
新都桥景区	新都桥	101.509594	30.033311	101001000078	新都桥
未来科技城东一线沿线	未来科技城郊野公园	104.390791	30.306771	101001000169	四川科技馆
漫花庄园内	漫花庄园玻璃桥	104.140669	30.762485	101001000055	漫花庄园
天台山镇	天台山风景名胜区	103.126302	30.278048	101001000062	成都天台山
桑枣镇	罗浮山温泉度假区	104.344228	31.583051	101001000145	浮生御度假村温泉中心
红珠山	四川省乐山市峨眉山市红珠山	103.452451	29.560668	101001000089	红珠山森林温泉
漳扎镇九寨沟内	五花海	103.880718	33.155510	101001000070	五花海
石海镇梅岭兴文石海洞乡旅游区内	风动石	105.143289	28.173408	101001000100	兴文石海
竹海镇	蜀南竹海	105.005444	28.472058	101001000038	蜀南竹海
解放路30号附近	礼门	104.771065	29.349048	101001000072	盐业历史博物馆
大安街289号	燊海井	104.787929	29.374344	101001000138	燊海井
清泉村清泉路116号(滑草场旁边)	九龙四季花田	104.138103	31.403348	101001000189	四川绵竹九龙滑草场
金履一路世纪百合商业广场	剑门关	103.986126	30.601448	101001000116	剑门关天赐温泉
